date,fuel_price_pkr,replacement_cost_index,hormuz_blockage_active
2026-04-07,467.84,144.86,True
2026-04-08,467.84,145.58,True
2026-04-09,467.84,146.26,True
2026-04-10,460.97,147.59,True
2026-04-11,460.97,148.37,True
2026-04-12,460.97,149.8,True
2026-04-13,460.97,151.27,True
2026-04-14,460.97,152.34,True
2026-04-15,460.97,152.98,True
2026-04-16,460.97,153.86,True
2026-04-17,487.66,155.16,True
2026-04-18,487.66,156.02,True
2026-04-19,487.66,156.61,True
2026-04-20,487.66,157.67,True
2026-04-21,487.66,159.01,True
2026-04-22,487.66,160.31,True
2026-04-23,487.66,160.98,True
2026-04-24,535.55,162.16,True
2026-04-25,535.55,162.88,True
2026-04-26,535.55,163.59,True
2026-04-27,535.55,164.97,True
2026-04-28,535.55,165.72,True
2026-04-29,535.55,166.48,True
2026-04-30,535.55,166.98,True
2026-05-01,561.8,168.35,True
2026-05-02,561.8,169.65,True
2026-05-03,561.8,170.77,True
2026-05-04,561.8,172.02,True
2026-05-05,561.8,172.68,True
2026-05-06,561.8,173.63,True
2026-05-07,561.8,174.48,True
2026-05-08,588.97,175.08,True
2026-05-09,588.97,176.06,True
2026-05-10,588.97,177.49,True
2026-05-11,588.97,178.03,True
2026-05-12,588.97,178.82,True
2026-05-13,588.97,179.52,True
2026-05-14,588.97,180.26,True
2026-05-15,588.97,181.67,True
2026-05-16,588.97,182.64,True
2026-05-17,588.97,183.61,True
2026-05-18,588.97,184.87,True
2026-05-19,588.97,185.52,True
2026-05-20,588.97,186.51,True
2026-05-21,588.97,187.44,True
2026-05-22,609.74,188.53,True
2026-05-23,609.74,190.03,True
2026-05-24,609.74,191.3,True
2026-05-25,609.74,192.2,True
2026-05-26,609.74,193.53,True
2026-05-27,609.74,194.2,True
2026-05-28,609.74,194.73,True
2026-05-29,600.55,195.43,True
2026-05-30,600.55,196.27,True
2026-05-31,600.55,197.29,True
2026-06-01,600.55,198.4,True
2026-06-02,600.55,199.81,True
2026-06-03,600.55,200.82,True
2026-06-04,600.55,201.82,True
2026-06-05,658.99,202.37,True
2026-06-06,658.99,202.91,True
2026-06-07,658.99,203.96,True
2026-06-08,658.99,204.9,True
2026-06-09,658.99,206.24,True
2026-06-10,658.99,206.9,True
2026-06-11,658.99,207.42,True
2026-06-12,695.07,208.37,True
2026-06-13,695.07,209.11,True
2026-06-14,695.07,209.66,True
2026-06-15,695.07,210.88,True
2026-06-16,695.07,211.49,True
2026-06-17,695.07,212.6,True
2026-06-18,695.07,213.38,True
2026-06-19,726.15,214.06,True
2026-06-20,726.15,214.94,True
2026-06-21,726.15,216.24,True
2026-06-22,726.15,217.13,True
2026-06-23,726.15,218.38,True
2026-06-24,726.15,219.01,True
2026-06-25,726.15,220.28,True
2026-06-26,726.15,221.02,True
2026-06-27,726.15,222.19,True
2026-06-28,726.15,223.26,True
2026-06-29,726.15,224.69,True
2026-06-30,726.15,225.58,True
2026-07-01,726.15,226.14,True
2026-07-02,726.15,226.66,True
2026-07-03,726.15,227.99,True
2026-07-04,726.15,229.01,True
2026-07-05,726.15,230.29,True
2026-07-06,726.15,231.02,True
2026-07-07,726.15,231.87,True
2026-07-08,726.15,232.4,True
2026-07-09,726.15,233.86,True
2026-07-10,716.75,235.03,True
2026-07-11,716.75,236.46,True
2026-07-12,716.75,237.23,True
2026-07-13,716.75,238.34,True
2026-07-14,716.75,239.52,True
2026-07-15,716.75,240.33,True
2026-07-16,716.75,241.68,True
2026-07-17,710.69,243.13,True
2026-07-18,710.69,244.51,True
2026-07-19,710.69,245.75,True
2026-07-20,710.69,246.53,True
2026-07-21,710.69,247.31,True
2026-07-22,710.69,248.77,True
2026-07-23,710.69,249.29,True
2026-07-24,766.13,250.5,True
2026-07-25,766.13,251.71,True
2026-07-26,766.13,252.83,True
2026-07-27,766.13,254.32,True
2026-07-28,766.13,255.13,True
2026-07-29,766.13,255.97,True
2026-07-30,766.13,256.55,True
2026-07-31,757.12,257.49,True
2026-08-01,757.12,258.25,True
2026-08-02,757.12,259.1,True
2026-08-03,757.12,260.43,True
2026-08-04,757.12,261.87,True
2026-08-05,757.12,262.55,True
2026-08-06,757.12,263.43,True
2026-08-07,778.32,264.86,True
2026-08-08,778.32,265.42,True
2026-08-09,778.32,266.01,True
2026-08-10,778.32,266.67,True
2026-08-11,778.32,267.77,True
2026-08-12,778.32,268.42,True
2026-08-13,778.32,269.89,True
2026-08-14,770.99,270.83,True
2026-08-15,770.99,271.83,True
2026-08-16,770.99,272.58,True
2026-08-17,770.99,273.55,True
2026-08-18,770.99,274.71,True
2026-08-19,770.99,275.96,True
2026-08-20,770.99,277.22,True
2026-08-21,770.99,278.3,True
2026-08-22,770.99,279.7,True
2026-08-23,770.99,281.02,True
2026-08-24,770.99,282.28,True
2026-08-25,770.99,282.83,True
2026-08-26,770.99,283.34,True
2026-08-27,770.99,284.05,True
2026-08-28,761.91,285.21,True
2026-08-29,761.91,286.13,True
2026-08-30,761.91,287.03,True
2026-08-31,761.91,288.41,True
2026-09-01,761.91,289.81,True
2026-09-02,761.91,291.22,True
2026-09-03,761.91,292.03,True
2026-09-04,819.43,293.22,True
2026-09-05,819.43,293.99,True
2026-09-06,819.43,294.68,True
2026-09-07,819.43,295.37,True
2026-09-08,819.43,296.21,True
2026-09-09,819.43,297.14,True
2026-09-10,819.43,298.47,True
2026-09-11,842.27,299.09,True
2026-09-12,842.27,300.33,True
2026-09-13,842.27,301.36,True
2026-09-14,842.27,302.15,True
2026-09-15,842.27,303.14,True
2026-09-16,842.27,303.94,True
2026-09-17,842.27,305.03,True
2026-09-18,842.27,305.97,True
2026-09-19,842.27,306.63,True
2026-09-20,842.27,307.25,True
2026-09-21,842.27,308.3,True
2026-09-22,842.27,309.7,True
2026-09-23,842.27,310.54,True
2026-09-24,842.27,311.78,True
2026-09-25,836.53,312.93,True
2026-09-26,836.53,314.37,True
2026-09-27,836.53,315.69,True
2026-09-28,836.53,316.75,True
2026-09-29,836.53,317.91,True
2026-09-30,836.53,319.31,True
2026-10-01,836.53,320.21,True
2026-10-02,886.9,321.04,True
2026-10-03,886.9,321.55,True
2026-10-04,886.9,322.87,True
2026-10-05,886.9,324.17,True
2026-10-06,886.9,324.78,True
2026-10-07,886.9,325.85,True
2026-10-08,886.9,326.82,True
2026-10-09,918.03,327.44,True
2026-10-10,918.03,328.92,True
2026-10-11,918.03,329.63,True
2026-10-12,918.03,330.2,True
2026-10-13,918.03,331.29,True
2026-10-14,918.03,332.53,True
2026-10-15,918.03,333.07,True
2026-10-16,918.03,334.22,True
2026-10-17,918.03,335.26,True
2026-10-18,918.03,335.86,True
2026-10-19,918.03,336.53,True
2026-10-20,918.03,337.6,True
2026-10-21,918.03,338.4,True
2026-10-22,918.03,339.84,True
2026-10-23,948.29,341.15,True
2026-10-24,948.29,342.64,True
2026-10-25,948.29,343.4,True
2026-10-26,948.29,344.87,True
2026-10-27,948.29,345.8,True
2026-10-28,948.29,346.65,True
2026-10-29,948.29,347.2,True
2026-10-30,942.24,347.75,True
2026-10-31,942.24,348.94,True
2026-11-01,942.24,349.9,True
2026-11-02,942.24,350.63,True
2026-11-03,942.24,351.74,True
2026-11-04,942.24,352.49,True
2026-11-05,942.24,353.57,True
2026-11-06,935.53,354.43,True
2026-11-07,935.53,355.75,True
2026-11-08,935.53,357.07,True
2026-11-09,935.53,358.05,True
2026-11-10,935.53,358.9,True
2026-11-11,935.53,359.76,True
2026-11-12,935.53,361.07,True
2026-11-13,961.73,361.9,True
2026-11-14,961.73,362.61,True
2026-11-15,961.73,363.19,True
2026-11-16,961.73,364.16,True
2026-11-17,961.73,365.14,True
2026-11-18,961.73,366.48,True
2026-11-19,961.73,367.2,True
2026-11-20,953.91,368.08,True
2026-11-21,953.91,369.39,True
2026-11-22,953.91,370.72,True
2026-11-23,953.91,371.6,True
2026-11-24,953.91,372.56,True
2026-11-25,953.91,373.36,True
2026-11-26,953.91,374.8,True
2026-11-27,979.4,375.41,True
2026-11-28,979.4,376.85,True
2026-11-29,979.4,378.03,True
2026-11-30,979.4,379.06,True
2026-12-01,979.4,379.6,True
2026-12-02,979.4,380.57,True
2026-12-03,979.4,381.48,True
2026-12-04,1005.16,382.14,True
2026-12-05,1005.16,383.3,True
2026-12-06,1005.16,384.77,True
2026-12-07,1005.16,385.83,True
2026-12-08,1005.16,387.04,True
2026-12-09,1005.16,387.61,True
2026-12-10,1005.16,388.53,True
2026-12-11,1044.67,389.15,True
2026-12-12,1044.67,390.26,True
2026-12-13,1044.67,391.7,True
2026-12-14,1044.67,392.86,True
2026-12-15,1044.67,393.44,True
2026-12-16,1044.67,394.29,True
2026-12-17,1044.67,395.34,True
2026-12-18,1044.67,396.25,True
2026-12-19,1044.67,397.58,True
2026-12-20,1044.67,398.89,True
2026-12-21,1044.67,400.01,True
2026-12-22,1044.67,400.88,True
2026-12-23,1044.67,401.63,True
2026-12-24,1044.67,402.24,True
2026-12-25,1081.41,403.1,True
2026-12-26,1081.41,404.01,True
2026-12-27,1081.41,405.18,True
2026-12-28,1081.41,406.34,True
2026-12-29,1081.41,406.91,True
2026-12-30,1081.41,407.81,True
2026-12-31,1081.41,408.49,True
