retailer_id,credit_score,base_loyalty,avg_basket_size_pkr
r_0392,64.41,0.92,21055.932523617823
r_0393,30.83,0.5,36742.62450705386
r_0394,41.06,0.56,20084.580661391425
r_0395,19.61,0.34,15535.79870015724
r_0396,13.89,0.38,19190.08279615939
r_0397,9.85,0.66,35254.48632986748
r_0398,36.73,0.49,28228.36077529104
r_0399,50.74,0.88,22519.434854650714
r_0400,23.65,0.31,24240.247480492675
r_0401,40.56,0.57,16649.38841999701
r_0402,26.49,0.54,19990.7570812978
r_0403,38.08,0.31,15809.20807968906
r_0404,22.53,0.39,19007.907539377764
r_0405,4.52,0.59,43178.118590997066
r_0406,16.44,0.65,12849.550309115046
r_0407,19.14,0.58,15609.59653790032
r_0408,26.16,0.67,11764.603142309395
r_0409,35.64,0.72,10557.012620019601
r_0410,8.07,0.31,20062.627658695183
r_0411,10.85,0.62,16174.5679671608
r_0412,24.55,0.97,53148.463010645755
r_0413,54.54,0.66,19121.654722244242
r_0414,33.55,0.77,41969.499526992135
r_0415,11.19,0.52,35739.194027659396
r_0416,7.86,0.84,19841.34006958941
r_0417,22.32,0.84,63263.75106123437
r_0418,23.93,0.66,25191.62792828298
r_0419,46.92,0.98,46934.32828192419
r_0420,10.93,0.39,44280.44541334585
r_0421,35.08,0.31,27100.948128637996
r_0422,11.47,0.84,32066.444635181415
r_0423,52.1,0.87,30092.634131775187
r_0424,46.29,0.38,12430.013670513923
r_0425,44.58,0.49,22666.541586369593
r_0426,45.07,0.31,37689.00238570634
r_0427,20.78,0.51,47244.577228313254
r_0428,55.31,0.84,15362.429489508862
r_0429,24.14,0.66,28693.20605512532
r_0430,35.22,0.54,23752.310920350727
r_0431,56.23,0.56,20765.805939434707
r_0432,6.6,0.3,26317.81366665173
r_0433,47.8,0.51,24563.053564458383
r_0434,36.2,0.75,28874.20123072566
r_0435,40.16,0.98,45290.76286777748
r_0436,14.48,0.89,32599.877035560054
r_0437,14.85,0.32,25726.98266958467
r_0438,26.73,0.93,55955.52895403506
r_0439,26.65,0.85,38367.452880553705
r_0440,20.17,0.85,21032.00871331984
r_0441,51.91,0.62,11985.343398600928
r_0442,1.26,0.58,13441.264030454924
r_0443,23.01,0.51,35123.16713827425
r_0444,8.92,0.35,16072.158372319376
r_0445,54.37,0.46,13306.025562742572
r_0446,33.81,0.47,15077.477253064195
r_0447,22.1,0.64,15620.006569163783
r_0448,12.23,0.82,33702.38326572603
r_0449,32.72,0.63,20366.13929123343
r_0450,10.0,0.34,11090.151041348812
r_0451,33.76,0.97,22371.03786673637
r_0452,58.29,0.96,24615.53597362836
r_0453,54.9,0.85,17332.377606340844
r_0454,14.44,0.99,39259.256982710256
r_0455,53.98,0.68,17845.926558395986
r_0456,4.91,0.97,38336.9262796209
r_0457,22.69,0.35,29684.829107886493
r_0458,15.07,0.56,35006.98017021998
r_0459,3.98,0.46,12717.376677727181
r_0460,42.0,0.44,23136.230693920857
r_0461,47.03,0.4,21452.275394173103
r_0462,45.93,0.74,10818.325032935365
r_0463,29.29,0.85,38274.16348511623
r_0464,32.53,0.7,14636.878558227818
r_0465,60.83,0.4,16239.73158532757
r_0466,22.8,0.87,13271.074314674623
r_0467,32.86,0.75,31275.588841863104
r_0468,18.89,0.57,10270.542657423839
r_0469,47.59,0.77,29999.542191132958
r_0470,46.2,0.48,37132.83854664229
r_0471,33.55,0.54,28813.209201731697
r_0472,29.13,0.94,31455.03176702086
r_0473,30.1,0.5,32201.65844756738
r_0474,32.72,0.63,13701.873258103868
r_0475,6.76,0.92,45132.93341044252
r_0476,33.28,0.8,17500.09997816439
r_0477,56.89,0.34,21307.325040756743
r_0478,16.87,0.4,18651.490488341187
r_0479,32.35,0.31,28163.189305284857
r_0480,25.95,0.74,16831.06185917418
r_0481,21.07,0.61,22775.891430729393
r_0482,44.54,0.39,11876.632479674157
r_0483,19.25,0.97,39431.98643009356
r_0484,42.16,0.67,30803.095679175316
r_0485,31.48,0.47,19031.86805286364
r_0486,8.92,0.65,17420.89252925805
r_0487,18.14,0.78,30403.53377261329
r_0488,28.89,0.35,15465.288031546697
r_0489,19.12,0.49,23451.333967931692
r_0490,25.46,0.86,39367.638255798185
r_0491,26.26,0.62,14681.910554014728
r_0492,18.69,0.68,26484.115431172493
r_0493,12.36,0.6,25793.108774490505
r_0494,35.91,0.33,20980.140749383536
r_0495,0.72,0.42,17121.75588731817
r_0496,22.54,0.61,40432.877336177095
r_0497,36.83,0.45,16337.456283915242
r_0498,47.01,0.33,8901.548678789422
r_0499,23.34,0.89,30341.35146207903
r_0500,60.46,0.99,12080.505602398083
