transaction_id,date,retailer_id,order_value_pkr,delivery_distance_km,is_default
txn_108,2026-01-03,r_0027,19651.94,5.9,1
txn_109,2026-01-03,r_0030,17946.87,5.5,0
txn_110,2026-01-03,r_0037,18384.26,2.9,0
txn_111,2026-01-03,r_0055,15795.01,22.2,0
txn_112,2026-01-03,r_0088,25820.14,5.1,1
txn_113,2026-01-03,r_0092,25014.67,19.5,0
txn_114,2026-01-03,r_0114,23329.3,5.6,0
txn_115,2026-01-03,r_0126,44619.78,4.1,0
txn_116,2026-01-03,r_0130,37179.26,17.9,0
txn_117,2026-01-03,r_0164,26707.9,12.2,0
txn_118,2026-01-03,r_0191,27280.63,10.1,1
txn_119,2026-01-03,r_0206,12017.79,15.7,0
txn_120,2026-01-03,r_0210,34829.76,7.0,0
txn_121,2026-01-03,r_0213,25214.27,16.3,1
txn_122,2026-01-03,r_0215,21643.79,6.9,0
txn_123,2026-01-03,r_0225,9263.29,13.6,1
txn_124,2026-01-03,r_0232,18099.65,11.4,0
txn_125,2026-01-03,r_0258,51498.23,9.1,1
txn_126,2026-01-03,r_0279,25269.82,12.0,0
txn_127,2026-01-03,r_0286,33178.71,14.1,1
txn_128,2026-01-03,r_0293,17906.95,7.9,1
txn_129,2026-01-03,r_0294,23836.25,23.7,1
txn_130,2026-01-03,r_0307,13735.79,21.2,0
txn_131,2026-01-03,r_0310,7978.25,16.9,0
txn_132,2026-01-03,r_0316,14043.86,18.1,0
txn_133,2026-01-03,r_0318,30987.86,23.4,0
txn_134,2026-01-03,r_0334,15054.11,22.5,0
txn_135,2026-01-03,r_0351,26833.95,9.9,0
txn_136,2026-01-03,r_0353,46113.41,6.3,0
txn_137,2026-01-03,r_0356,43070.74,2.4,0
txn_138,2026-01-03,r_0357,42103.1,9.5,0
txn_139,2026-01-03,r_0361,20504.96,15.4,0
txn_140,2026-01-03,r_0380,14517.73,8.6,0
txn_141,2026-01-03,r_0384,22869.17,18.4,0
txn_142,2026-01-03,r_0444,18585.68,15.1,0
txn_143,2026-01-03,r_0470,43255.42,16.6,1
txn_144,2026-01-03,r_0474,14396.58,5.4,0
txn_145,2026-01-03,r_0480,19588.42,8.2,1
txn_146,2026-01-03,r_0499,36183.68,16.5,1
txn_147,2026-01-04,r_0005,22053.48,15.4,1
txn_148,2026-01-04,r_0030,17879.61,7.4,1
txn_149,2026-01-04,r_0042,11637.61,12.5,1
txn_150,2026-01-04,r_0044,27102.65,12.2,1
txn_151,2026-01-04,r_0099,28880.35,16.9,0
txn_152,2026-01-04,r_0106,15736.63,24.7,1
txn_153,2026-01-04,r_0115,19655.26,9.9,0
txn_154,2026-01-04,r_0117,26239.68,5.4,0
txn_155,2026-01-04,r_0121,30399.17,10.5,0
txn_156,2026-01-04,r_0140,30691.05,15.2,1
txn_157,2026-01-04,r_0142,5449.44,5.3,0
txn_158,2026-01-04,r_0143,24885.66,17.3,0
txn_159,2026-01-04,r_0145,16586.2,13.5,0
txn_160,2026-01-04,r_0146,15444.99,19.6,0
txn_161,2026-01-04,r_0156,17625.26,20.5,0
txn_162,2026-01-04,r_0169,52450.18,22.1,1
txn_163,2026-01-04,r_0172,12575.01,20.1,0
txn_164,2026-01-04,r_0178,16222.32,4.9,0
txn_165,2026-01-04,r_0205,11323.65,9.0,1
txn_166,2026-01-04,r_0209,21025.03,14.7,1
txn_167,2026-01-04,r_0220,44339.33,9.8,0
txn_168,2026-01-04,r_0224,26880.25,22.1,0
txn_169,2026-01-04,r_0229,31557.61,3.9,1
txn_170,2026-01-04,r_0242,20683.34,25.0,1
txn_171,2026-01-04,r_0252,27736.99,11.4,1
txn_172,2026-01-04,r_0258,57515.13,5.9,0
txn_173,2026-01-04,r_0265,21370.91,2.7,1
txn_174,2026-01-04,r_0278,31458.01,16.4,1
txn_175,2026-01-04,r_0279,30496.2,14.1,0
txn_176,2026-01-04,r_0286,23317.27,20.5,0
txn_177,2026-01-04,r_0289,9791.37,16.8,1
txn_178,2026-01-04,r_0297,12722.22,23.2,0
txn_179,2026-01-04,r_0299,15556.85,9.8,0
txn_180,2026-01-04,r_0301,11128.44,11.2,0
txn_181,2026-01-04,r_0313,14799.83,24.7,0
txn_182,2026-01-04,r_0339,27784.61,16.3,1
txn_183,2026-01-04,r_0343,8854.12,24.4,0
txn_184,2026-01-04,r_0352,8019.63,17.0,0
txn_185,2026-01-04,r_0374,5319.94,20.0,0
txn_186,2026-01-04,r_0393,36882.38,14.6,0
txn_187,2026-01-04,r_0401,16903.09,13.7,0
txn_188,2026-01-04,r_0413,22793.05,15.7,0
txn_189,2026-01-04,r_0415,29127.85,15.1,0
txn_190,2026-01-04,r_0422,28734.68,12.8,0
txn_191,2026-01-04,r_0434,32658.0,24.3,0
txn_192,2026-01-04,r_0438,55051.62,16.5,1
txn_193,2026-01-04,r_0463,43733.16,11.1,1
txn_194,2026-01-04,r_0472,30650.67,5.6,1
txn_195,2026-01-04,r_0488,12573.2,15.7,0
txn_196,2026-01-04,r_0492,30097.57,24.9,0
txn_197,2026-01-04,r_0499,27492.04,17.8,1
txn_198,2026-01-05,r_0003,21962.04,23.5,0
txn_199,2026-01-05,r_0018,13572.24,23.9,1
txn_200,2026-01-05,r_0029,12986.06,6.6,1
txn_201,2026-01-05,r_0030,12506.37,3.9,0
txn_202,2026-01-05,r_0036,24824.28,20.4,0
txn_203,2026-01-05,r_0049,15498.66,21.4,0
txn_204,2026-01-05,r_0053,10640.08,17.4,1
txn_205,2026-01-05,r_0062,29019.64,5.3,0
txn_206,2026-01-05,r_0067,20670.9,10.4,0
txn_207,2026-01-05,r_0068,52722.24,7.5,0
txn_208,2026-01-05,r_0079,36197.92,3.8,1
txn_209,2026-01-05,r_0088,22430.96,12.8,0
txn_210,2026-01-05,r_0089,41614.31,12.4,1
txn_211,2026-01-05,r_0095,15428.23,15.4,1
txn_212,2026-01-05,r_0109,10172.14,6.6,1
txn_213,2026-01-05,r_0143,19694.72,6.1,0
txn_214,2026-01-05,r_0163,15184.71,16.6,1
txn_215,2026-01-05,r_0172,12551.76,14.5,0
txn_216,2026-01-05,r_0200,41891.54,8.7,0
txn_217,2026-01-05,r_0202,15510.34,15.7,0
txn_218,2026-01-05,r_0203,43109.16,24.1,1
txn_219,2026-01-05,r_0212,27048.31,5.9,1
txn_220,2026-01-05,r_0219,39590.33,8.6,0
txn_221,2026-01-05,r_0223,39713.22,15.2,0
txn_222,2026-01-05,r_0236,21985.25,5.8,0
txn_223,2026-01-05,r_0242,25616.81,13.6,0
txn_224,2026-01-05,r_0258,42510.79,4.5,0
txn_225,2026-01-05,r_0268,26606.33,13.0,1
txn_226,2026-01-05,r_0297,11616.01,11.6,0
txn_227,2026-01-05,r_0300,33879.74,22.9,1
txn_228,2026-01-05,r_0302,24779.6,8.3,1
txn_229,2026-01-05,r_0305,30734.27,3.8,0
txn_230,2026-01-05,r_0313,16326.65,21.7,0
txn_231,2026-01-05,r_0336,22567.41,7.3,1
txn_232,2026-01-05,r_0338,17320.99,3.2,0
txn_233,2026-01-05,r_0354,44217.0,16.2,1
txn_234,2026-01-05,r_0355,7278.08,18.1,1
txn_235,2026-01-05,r_0370,19220.01,5.1,0
txn_236,2026-01-05,r_0373,23809.29,12.3,0
txn_237,2026-01-05,r_0374,5431.13,14.4,0
txn_238,2026-01-05,r_0390,26511.61,12.0,1
txn_239,2026-01-05,r_0394,20378.68,23.5,1
txn_240,2026-01-05,r_0401,14922.6,7.5,0
txn_241,2026-01-05,r_0409,11955.8,19.6,1
txn_242,2026-01-05,r_0413,16890.02,7.8,0
txn_243,2026-01-05,r_0429,27355.89,5.5,0
txn_244,2026-01-05,r_0447,15539.3,22.2,1
txn_245,2026-01-05,r_0452,22124.1,22.7,0
txn_246,2026-01-05,r_0460,19941.97,6.2,0
txn_247,2026-01-05,r_0464,12778.73,15.2,0
txn_248,2026-01-05,r_0473,33729.11,9.1,0
txn_249,2026-01-05,r_0474,16021.46,17.9,1
txn_250,2026-01-05,r_0475,46802.54,21.2,1
txn_251,2026-01-05,r_0476,20228.36,2.2,1
txn_252,2026-01-05,r_0481,20450.43,22.3,1
txn_253,2026-01-05,r_0490,40499.81,22.9,0
txn_254,2026-01-05,r_0496,37594.6,23.7,1
txn_255,2026-01-06,r_0018,15745.31,8.2,0
txn_256,2026-01-06,r_0029,11481.16,8.0,0
txn_257,2026-01-06,r_0062,24495.59,23.5,0
txn_258,2026-01-06,r_0088,19041.29,14.5,0
txn_259,2026-01-06,r_0097,13840.38,3.1,0
txn_260,2026-01-06,r_0108,49729.04,12.2,1
txn_261,2026-01-06,r_0112,45107.27,6.4,0
txn_262,2026-01-06,r_0119,37655.43,8.9,0
txn_263,2026-01-06,r_0124,7282.75,6.8,1
txn_264,2026-01-06,r_0144,31323.85,8.8,0
txn_265,2026-01-06,r_0146,15589.22,9.0,0
txn_266,2026-01-06,r_0148,17433.82,17.1,0
txn_267,2026-01-06,r_0155,19905.14,19.0,1
txn_268,2026-01-06,r_0164,28230.35,14.3,1
txn_269,2026-01-06,r_0176,41212.73,5.9,0
txn_270,2026-01-06,r_0197,9192.21,15.5,0
txn_271,2026-01-06,r_0205,8778.01,11.7,0
txn_272,2026-01-06,r_0207,16044.69,8.4,0
txn_273,2026-01-06,r_0208,10646.43,17.8,1
txn_274,2026-01-06,r_0210,36416.41,11.3,0
txn_275,2026-01-06,r_0225,8974.94,17.9,0
txn_276,2026-01-06,r_0238,16063.9,7.2,0
txn_277,2026-01-06,r_0242,27297.72,9.8,1
txn_278,2026-01-06,r_0247,16786.24,8.2,0
txn_279,2026-01-06,r_0266,44963.09,11.2,0
txn_280,2026-01-06,r_0269,50738.19,9.9,0
txn_281,2026-01-06,r_0279,28370.51,15.1,1
txn_282,2026-01-06,r_0282,29535.42,17.4,0
txn_283,2026-01-06,r_0295,19049.37,20.9,1
txn_284,2026-01-06,r_0299,17259.91,14.9,0
txn_285,2026-01-06,r_0307,11212.02,13.5,1
txn_286,2026-01-06,r_0315,43542.3,5.8,0
txn_287,2026-01-06,r_0316,11192.72,21.1,0
txn_288,2026-01-06,r_0335,26041.26,10.4,0
txn_289,2026-01-06,r_0339,28121.52,18.4,1
txn_290,2026-01-06,r_0344,10991.91,17.5,1
txn_291,2026-01-06,r_0348,17309.65,18.7,1
txn_292,2026-01-06,r_0353,40732.14,17.4,0
txn_293,2026-01-06,r_0388,20510.48,3.3,1
txn_294,2026-01-06,r_0389,42016.15,12.1,0
txn_295,2026-01-06,r_0397,29236.48,20.7,1
txn_296,2026-01-06,r_0404,21120.66,13.5,0
txn_297,2026-01-06,r_0419,55148.78,14.2,1
txn_298,2026-01-06,r_0422,35237.49,9.2,0
txn_299,2026-01-06,r_0425,20460.29,15.6,0
txn_300,2026-01-06,r_0436,33306.4,19.5,1
txn_301,2026-01-06,r_0439,34332.28,12.3,0
txn_302,2026-01-06,r_0440,18703.81,23.2,0
txn_303,2026-01-06,r_0445,15451.23,5.2,0
txn_304,2026-01-06,r_0451,25146.3,4.0,1
txn_305,2026-01-06,r_0456,33183.4,18.9,0
txn_306,2026-01-06,r_0466,11929.14,19.2,0
txn_307,2026-01-06,r_0472,34139.05,17.2,0
txn_308,2026-01-06,r_0476,17527.32,18.3,0
txn_309,2026-01-06,r_0480,18873.04,22.6,1
txn_310,2026-01-06,r_0483,31750.8,23.7,0
txn_311,2026-01-06,r_0487,30998.62,7.0,0
txn_312,2026-01-06,r_0491,12711.75,7.4,0
txn_313,2026-01-06,r_0493,30810.9,9.2,1
txn_314,2026-01-06,r_0499,24958.99,4.4,1
txn_315,2026-01-07,r_0029,13174.12,16.1,0
txn_316,2026-01-07,r_0032,25662.94,18.1,1
txn_317,2026-01-07,r_0041,8089.09,16.4,1
txn_318,2026-01-07,r_0047,24018.82,23.6,0
txn_319,2026-01-07,r_0054,15179.54,14.6,1
txn_320,2026-01-07,r_0076,15628.96,20.3,0
txn_321,2026-01-07,r_0082,15569.08,17.7,1
txn_322,2026-01-07,r_0089,33712.82,21.6,0
txn_323,2026-01-07,r_0098,41865.71,10.3,0
txn_324,2026-01-07,r_0113,26994.9,17.4,0
txn_325,2026-01-07,r_0116,27101.12,5.0,0
txn_326,2026-01-07,r_0119,26624.6,11.7,1
txn_327,2026-01-07,r_0145,14900.02,12.5,1
txn_328,2026-01-07,r_0147,48749.49,4.2,0
txn_329,2026-01-07,r_0154,53565.58,16.6,0
txn_330,2026-01-07,r_0175,8669.86,8.2,0
txn_331,2026-01-07,r_0181,34413.0,4.3,0
txn_332,2026-01-07,r_0183,13563.93,4.9,0
txn_333,2026-01-07,r_0198,10581.52,12.3,0
txn_334,2026-01-07,r_0218,53356.82,12.2,0
txn_335,2026-01-07,r_0230,14892.62,6.6,0
txn_336,2026-01-07,r_0249,24749.66,21.9,1
txn_337,2026-01-07,r_0256,18414.34,14.4,0
txn_338,2026-01-07,r_0263,32271.02,9.4,0
txn_339,2026-01-07,r_0293,17535.4,5.5,1
txn_340,2026-01-07,r_0294,22874.35,5.4,0
txn_341,2026-01-07,r_0308,22293.75,23.5,1
txn_342,2026-01-07,r_0313,15053.0,6.0,0
txn_343,2026-01-07,r_0315,34660.33,13.7,0
txn_344,2026-01-07,r_0342,21670.73,17.4,0
txn_345,2026-01-07,r_0349,14991.96,21.8,0
txn_346,2026-01-07,r_0354,47534.54,2.5,1
txn_347,2026-01-07,r_0356,35864.04,16.1,0
txn_348,2026-01-07,r_0360,36895.4,19.1,0
txn_349,2026-01-07,r_0364,29739.0,22.1,0
txn_350,2026-01-07,r_0369,14781.25,24.3,1
txn_351,2026-01-07,r_0377,16758.09,8.0,0
txn_352,2026-01-07,r_0380,11094.49,9.8,1
txn_353,2026-01-07,r_0385,24998.64,8.9,0
txn_354,2026-01-07,r_0394,17079.45,22.8,0
txn_355,2026-01-07,r_0414,44430.95,21.1,0
txn_356,2026-01-07,r_0415,36431.12,6.5,0
txn_357,2026-01-07,r_0419,52804.74,5.0,1
txn_358,2026-01-07,r_0447,13056.02,24.1,0
txn_359,2026-01-07,r_0461,21535.71,10.7,1
txn_360,2026-01-07,r_0467,32159.85,19.5,0
txn_361,2026-01-07,r_0472,29055.24,4.7,1
txn_362,2026-01-07,r_0475,46716.25,3.5,1
txn_363,2026-01-07,r_0480,16251.58,8.2,0
txn_364,2026-01-08,r_0009,21747.65,12.2,1
txn_365,2026-01-08,r_0017,13853.53,23.4,1
txn_366,2026-01-08,r_0020,39444.76,6.2,0
txn_367,2026-01-08,r_0022,29077.3,6.3,0
txn_368,2026-01-08,r_0034,23789.26,8.6,0
txn_369,2026-01-08,r_0050,30028.03,17.6,1
txn_370,2026-01-08,r_0053,13179.06,14.5,0
txn_371,2026-01-08,r_0068,37305.44,16.9,0
txn_372,2026-01-08,r_0072,29965.56,21.0,0
txn_373,2026-01-08,r_0088,20220.87,9.9,0
txn_374,2026-01-08,r_0089,41284.85,22.4,1
txn_375,2026-01-08,r_0098,47079.89,19.0,1
txn_376,2026-01-08,r_0117,27399.99,24.0,1
txn_377,2026-01-08,r_0119,39240.28,6.1,1
txn_378,2026-01-08,r_0122,20399.04,21.8,0
txn_379,2026-01-08,r_0127,33179.08,20.6,1
txn_380,2026-01-08,r_0154,55884.82,14.9,0
txn_381,2026-01-08,r_0163,11386.56,18.3,0
txn_382,2026-01-08,r_0166,13857.63,15.9,0
txn_383,2026-01-08,r_0170,19962.23,11.8,1
txn_384,2026-01-08,r_0173,13233.9,24.1,0
txn_385,2026-01-08,r_0214,21893.96,15.8,1
txn_386,2026-01-08,r_0217,14698.93,5.4,0
txn_387,2026-01-08,r_0218,39160.64,16.0,1
txn_388,2026-01-08,r_0228,51091.79,22.7,0
txn_389,2026-01-08,r_0245,16333.29,17.2,0
txn_390,2026-01-08,r_0253,14712.92,12.1,1
txn_391,2026-01-08,r_0267,27288.79,11.2,1
txn_392,2026-01-08,r_0278,44111.32,8.9,1
txn_393,2026-01-08,r_0288,17918.86,23.2,0
txn_394,2026-01-08,r_0289,10358.36,7.6,0
txn_395,2026-01-08,r_0291,25895.39,17.1,0
txn_396,2026-01-08,r_0293,21585.55,2.7,0
txn_397,2026-01-08,r_0305,25125.52,15.0,0
txn_398,2026-01-08,r_0311,24294.37,4.2,0
txn_399,2026-01-08,r_0317,12523.49,17.9,0
txn_400,2026-01-08,r_0326,22327.66,15.3,1
txn_401,2026-01-08,r_0343,10321.73,21.1,0
txn_402,2026-01-08,r_0347,18524.16,5.6,0
txn_403,2026-01-08,r_0375,23465.97,9.4,0
txn_404,2026-01-08,r_0383,25049.74,15.6,0
txn_405,2026-01-08,r_0386,8062.31,8.3,1
txn_406,2026-01-08,r_0398,26828.71,23.7,0
txn_407,2026-01-08,r_0423,27124.98,3.7,1
txn_408,2026-01-08,r_0426,34260.17,22.0,0
txn_409,2026-01-08,r_0450,11406.53,23.9,1
txn_410,2026-01-08,r_0454,40445.66,23.9,1
txn_411,2026-01-08,r_0467,36111.92,19.3,1
txn_412,2026-01-08,r_0487,32862.14,13.8,0
txn_413,2026-01-08,r_0490,37449.59,15.3,0
txn_414,2026-01-09,r_0062,26365.92,6.6,1
txn_415,2026-01-09,r_0066,31322.59,4.6,0
txn_416,2026-01-09,r_0071,4370.69,22.8,0
txn_417,2026-01-09,r_0072,30373.7,21.3,0
txn_418,2026-01-09,r_0090,13387.57,9.6,1
txn_419,2026-01-09,r_0095,13375.33,8.1,0
txn_420,2026-01-09,r_0108,45631.46,17.9,1
txn_421,2026-01-09,r_0119,29450.2,9.0,0
txn_422,2026-01-09,r_0144,26735.0,23.7,1
txn_423,2026-01-09,r_0178,14823.2,16.9,0
txn_424,2026-01-09,r_0204,13933.55,21.9,0
txn_425,2026-01-09,r_0229,26273.06,7.7,0
txn_426,2026-01-09,r_0234,19287.13,10.6,1
txn_427,2026-01-09,r_0246,50152.93,13.2,1
txn_428,2026-01-09,r_0247,15800.31,14.9,0
txn_429,2026-01-09,r_0260,44734.91,14.1,0
txn_430,2026-01-09,r_0280,55808.07,4.4,0
txn_431,2026-01-09,r_0284,10670.19,9.4,0
txn_432,2026-01-09,r_0297,13169.62,20.7,0
txn_433,2026-01-09,r_0313,18237.95,20.5,1
txn_434,2026-01-09,r_0316,10433.19,10.4,1
txn_435,2026-01-09,r_0318,27350.11,16.9,0
txn_436,2026-01-09,r_0336,24449.74,6.3,0
txn_437,2026-01-09,r_0345,34378.29,4.2,0
txn_438,2026-01-09,r_0348,14403.18,21.4,0
txn_439,2026-01-09,r_0353,39047.53,10.0,0
txn_440,2026-01-09,r_0357,30365.02,12.8,1
txn_441,2026-01-09,r_0370,17625.35,10.7,0
txn_442,2026-01-09,r_0377,12328.93,10.7,1
txn_443,2026-01-09,r_0381,30469.55,14.6,0
txn_444,2026-01-09,r_0400,21049.7,3.0,0
txn_445,2026-01-09,r_0418,27626.18,10.9,0
txn_446,2026-01-09,r_0422,27682.84,18.0,1
txn_447,2026-01-09,r_0423,27518.88,6.6,0
txn_448,2026-01-09,r_0425,18329.32,13.1,0
txn_449,2026-01-09,r_0448,36999.87,3.1,1
txn_450,2026-01-09,r_0463,43171.24,14.7,1
txn_451,2026-01-09,r_0485,17908.48,14.8,0
txn_452,2026-01-09,r_0500,13631.8,6.7,0
txn_453,2026-01-10,r_0010,25210.99,2.2,1
txn_454,2026-01-10,r_0011,24142.19,8.1,0
txn_455,2026-01-10,r_0015,27504.85,4.4,0
txn_456,2026-01-10,r_0050,27013.47,2.5,1
txn_457,2026-01-10,r_0053,11886.77,15.2,1
txn_458,2026-01-10,r_0093,5503.89,18.8,0
txn_459,2026-01-10,r_0099,37820.03,10.5,0
txn_460,2026-01-10,r_0104,38847.06,13.1,0
txn_461,2026-01-10,r_0105,27454.6,5.6,0
txn_462,2026-01-10,r_0111,21705.3,22.9,1
txn_463,2026-01-10,r_0127,41905.64,20.5,0
txn_464,2026-01-10,r_0140,25988.75,14.8,0
txn_465,2026-01-10,r_0144,22449.99,9.5,1
txn_466,2026-01-10,r_0150,26333.18,12.0,1
txn_467,2026-01-10,r_0156,23463.11,21.2,0
txn_468,2026-01-10,r_0161,16152.02,12.9,1
txn_469,2026-01-10,r_0167,29673.97,7.8,0
txn_470,2026-01-10,r_0189,33386.36,3.5,0
txn_471,2026-01-10,r_0192,41194.68,13.2,0
txn_472,2026-01-10,r_0204,12404.63,9.5,0
txn_473,2026-01-10,r_0219,45428.1,19.5,0
txn_474,2026-01-10,r_0225,9154.31,4.3,1
txn_475,2026-01-10,r_0228,40664.8,18.9,0
txn_476,2026-01-10,r_0234,21529.68,22.6,0
txn_477,2026-01-10,r_0248,26510.13,20.6,0
txn_478,2026-01-10,r_0259,16903.77,5.4,0
txn_479,2026-01-10,r_0273,33456.32,14.8,0
txn_480,2026-01-10,r_0276,35886.12,11.6,0
txn_481,2026-01-10,r_0300,28801.82,4.2,0
txn_482,2026-01-10,r_0306,15387.17,18.5,1
txn_483,2026-01-10,r_0307,12565.03,21.5,0
txn_484,2026-01-10,r_0314,13369.43,16.9,1
txn_485,2026-01-10,r_0317,13032.33,11.1,0
txn_486,2026-01-10,r_0339,25547.4,13.5,1
txn_487,2026-01-10,r_0346,19880.68,16.4,0
txn_488,2026-01-10,r_0360,32595.65,23.4,0
txn_489,2026-01-10,r_0373,28642.91,9.6,0
txn_490,2026-01-10,r_0374,6688.97,20.0,0
txn_491,2026-01-10,r_0383,25475.78,20.2,0
txn_492,2026-01-10,r_0405,38910.6,2.9,0
txn_493,2026-01-10,r_0408,11771.17,22.1,0
txn_494,2026-01-10,r_0409,11317.58,17.4,0
txn_495,2026-01-10,r_0412,50979.01,9.1,0
txn_496,2026-01-10,r_0417,62763.63,16.3,0
txn_497,2026-01-10,r_0428,13172.92,14.0,0
